entity,field,value,source_id,retrieved_at,confidence,evidence_kind,source_url,derivation,derived_from,sample_size,notes
agency:ALM,agency_name,Autocares Urbanos Almuñécar,official_index,2026-08-10,high,,,,,,
agency:ALM,agency_phone,+34 958 88 27 62,official_index,2026-08-10,medium,,,,,,Published as 958882762 on the contact page.
agency:ALM,agency_url,https://urbanosalmunecar.es/,official_index,2026-08-10,confirmed,,,,,,
pattern:ALM_1_CIRC,departures:SUMMER_MONSAT,8:30;9:30;10:00;10:30;11:00;11:30;12:00;12:30;13:00;14:00;17:00;18:00;19:00;20:00;21:00;22:00,official_l1_summer,2026-08-10,confirmed,timetable,https://urbanosalmunecar.es/wp-content/uploads/2025/08/domingo-y-festivos-circular-ok-pica.png,,,,Transcribed by hand from the operator's timetable image on 2026-08-10. Departures from the principal stop.
pattern:ALM_1_CIRC,departures:SUMMER_SUNHOL,8:30;9:30;10:30;12:45;17:00;18:45;21:00,official_l1_summer,2026-08-10,confirmed,timetable,https://urbanosalmunecar.es/wp-content/uploads/2025/08/domingo-y-festivos-circular-ok-pica.png,,,,Transcribed by hand from the operator's timetable image on 2026-08-10. Departures from the principal stop.
pattern:ALM_1_CIRC,departures:WINTER_MONSAT,8:30;9:30;10:00;11:00;11:30;12:00;12:30;13:00;14:00;17:00;18:00;19:00;20:00,official_l1_winter,2026-08-10,confirmed,timetable,https://urbanosalmunecar.es/wp-content/uploads/2022/09/linea-1-almunecar-correcta.png,,,,Transcribed by hand from the operator's timetable image on 2026-08-10. Departures from the principal stop.
pattern:ALM_1_CIRC,departures:WINTER_SUNHOL,8:30;10:30;12:45;16:30;18:45,official_l1_winter,2026-08-10,confirmed,timetable,https://urbanosalmunecar.es/wp-content/uploads/2022/09/linea-1-almunecar-correcta.png,,,,Transcribed by hand from the operator's timetable image on 2026-08-10. Departures from the principal stop. Printed as 'Domingo' only; whether public holidays are included is not stated.
pattern:ALM_1_CIRC,direction_id,0,osm_route_relations,2026-08-10,high,,,,,,"roundtrip=yes: one circular direction, not an out-and-back pair."
pattern:ALM_1_CIRC,headsign,Circular,official_index,2026-08-10,high,,,,,,
pattern:ALM_1_CIRC,route_id,ALM_1,osm_route_relations,2026-08-10,high,,https://www.openstreetmap.org/relation/11185550,,,,
